gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Parp3,16.464983499453602,-1.313884595995273,0.35633069933037304,-3.687261856652719,2.2668006426766638e-4,0.03127780101064747
Igfbp4,36.58601919083467,-3.4799826524101647,0.7912969760114799,-4.397821245256065,1.093429741820344e-5,0.004820339626724527
Ubb,1968.5204946370409,0.7314156590616495,0.19547921627740866,3.7416543456143296,1.828128456708168e-4,0.025813122134984563
Tcf7,110.72329386532583,-1.345532587006747,0.30953830634319224,-4.3469016901414586,1.3807406750724092e-5,0.00561525431383395
Atox1,108.5150552070339,0.5153650339501904,0.14607835805017405,3.52800401667423,4.1870580305896325e-4,0.04192455699142211
Vps54,83.29549492716043,0.7384202996094342,0.18330139438886012,4.028448894627234,5.614606219504948e-5,0.01205112840503187
Mir142hg,270.6208525655273,-1.3395742559043715,0.3716602986874187,-3.6042974206158283,3.12998469183767e-4,0.03720829494435335
2410006H16Rik,240.91301732074103,1.0439487378313217,0.24638909973262188,4.236992378981865,2.2653382204497877e-5,0.007066670795694539
Atxn1,169.97901065359812,0.8824882181339841,0.24279303820217965,3.6347344415992473,2.7826711574978417e-4,0.03440257884476319
Tasor2,30.271746854501977,-1.0910878859199666,0.257402071930482,-4.23884655526255,2.2467115140134884e-5,0.007066670795694539
Gzma,25.44039673450597,6.510850543478928,1.66891000708575,3.9012592145984986,9.569361488935544e-5,0.016805103687501124
Npc2,215.42374852781762,0.6004393196772859,0.17366036063753612,3.4575496530870553,5.451117795830824e-4,0.049215869052452094
Gm48236,25.02884411490351,1.5174856201372071,0.365014765955927,4.157326666396923,3.219934113645552e-5,0.008579458929703165
Actn1,37.6385848463572,-1.3138293367474578,0.296167077121086,-4.4361086637942115,9.159962257179587e-6,0.0044238947108277415
Evl,144.6888268947506,-1.7036130156050309,0.43007625470317595,-3.9611882706261166,7.457769929683596e-5,0.014296533206461603
Lgmn,37.32379374113626,2.0455236348972017,0.4830138123022606,4.234917476059987,2.2863565406026073e-5,0.007066670795694539
Naga,25.38899573428734,1.7805145539042406,0.3908577109563882,4.555403421740118,5.22851343304874e-6,0.0031077479459359703
Sub1,266.16605617737537,0.8770967285154957,0.22746158894145996,3.8560212851640077,1.1524745738086393e-4,0.01935906746047686
St3gal1,38.86323529810702,-1.0670479258401646,0.22392196777677262,-4.765266831273574,1.8860388904131798e-6,0.0012144518755185533
Grina,36.39591403010145,0.7828843809819622,0.2176074720617679,3.597690711464818,3.210550740047196e-4,0.037342382456482456
Il2rb,165.40396078152747,0.7604749452048265,0.183743765294012,4.138779587911326,3.4915818918716815e-5,0.008993151092830828
Tuba1b,96.06902237233794,-0.8525461905051211,0.24323125806384607,-3.505084820477043,4.5646183218026444e-4,0.04354420465749263
Btla,34.25656305671451,-1.1628880533204111,0.33474399019279943,-3.473962453069383,5.128327905745075e-4,0.047742879189990595
Tra2b,184.4838613291737,0.9693008072200926,0.2644317818996287,3.6655987425445464,2.467605759314984e-4,0.03287446500383945
St6gal1,106.22321681058402,-1.0260622723066715,0.2442783884497641,-4.2003808802663745,2.6646633424660673e-5,0.007919174479705885
Myl12b,155.32496190446872,1.1011105674639785,0.22226257539763475,4.95409794246313,7.266659992956238e-7,6.238831307285872e-4
Myl12a,173.39819273140722,0.7827860841530729,0.22002655277389846,3.5576891710768743,3.7413165316000773e-4,0.041897322956048984
Sytl3,10.631439712107257,3.39359939331288,0.8415645105613905,4.032488716817537,5.5189265572230876e-5,0.01205112840503187
Agpat4,15.44760663598978,1.971588412119267,0.44889988021520827,4.392044861259626,1.1228952152328393e-5,0.004820339626724527
Gm19585,37.444562848155705,1.730302909397109,0.46259963735139514,3.740389679732399,1.8373517761410002e-4,0.025813122134984563
4930503L19Rik,16.315540831495795,1.4198934966426464,0.35697269493200556,3.9775969333259535,6.961524689593981e-5,0.01412834818998945
Ehd1,30.811786047315053,1.9903621850665705,0.526690822519453,3.7789953801464953,1.5746234521850307e-4,0.023857089049085747
Cd6,206.57894098709488,0.6265684510889429,0.11350626375817839,5.520122241216817,3.387639147850456e-8,8.725429231813491e-5
Npm3,52.62367288938674,-1.0767700928290178,0.22553078413034439,-4.774381896383174,1.8026003077958585e-6,0.0012144518755185533
Nmrk1,11.49202370444875,3.4004940740851284,0.924231691835301,3.679265820600209,2.339063637449096e-4,0.03170867495889327
Slc25a45,12.066058854920522,1.3790030146874754,0.34132724310848866,4.040119980253578,5.342386422976245e-5,0.01205112840503187
Eef1g,316.23208049857556,-0.6598210843520222,0.13516135911201516,-4.88172868848703,1.0515987518415948e-6,8.125703555480004e-4
mt-Nd1,868.7887646974498,-0.8676578707977289,0.10807646141021829,-8.028185411293403,9.892489937076705e-16,7.64392697437917e-12
mt-Nd2,458.0339125707179,-0.9311104833062269,0.14289192358067718,-6.516186919273428,7.211710018164461e-11,2.7862441655178396e-7
mt-Nd4,521.4964798156235,-0.6480358836077079,0.15753998079843243,-4.113469357577554,3.8975679790172414e-5,0.009715002507698783
mt-Cytb,1304.8032841667036,-0.6777164609354658,0.1343246471594048,-5.045361929231134,4.5266367822609716e-7,5.643217957344005e-4
